,NOME_CEDENTE,VALOR_PRESENTE
DANPETRO DISTRIBUIDORA DE PETROLEO S/A,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,2626022.8999999994
DAX OIL REFINO S/A,DAX OIL REFINO S/A,2009940.2899999998
J L TRANSPORTES EIRELI,J L TRANSPORTES EIRELI,479335.87999999995
