,Date,Yield_Medio,Prazo_Medio
0,20191122,0.7487944871597307,32.447508135643375
1,20191125,0.6447939790429551,35.447507908357274
2,20191126,0.6431245749163543,32.74714569765217
3,20191127,0.6432461222204102,31.74727339175568
4,20191128,0.4921167357279561,15.830593697358628
5,20191129,0.5425210834330783,13.87738564654368
6,20191202,0.5211655990516462,14.40174189612888
7,20191204,0.5351820200547976,12.407806033002313
8,20191205,0.5438417475471389,11.829745137643044
9,20191218,0.5347290702675724,20.73942963140989
10,20191219,0.530682906554742,19.8304067684034
11,20191220,0.5021252076354046,19.770503968896687
12,20191226,0.5161240187219827,17.786654166407327
13,20191227,0.5218776453839726,16.474714293592893
14,20191231,-0.4737167638785946,-10.336096162667156
16,20200131,1.0462872259364002,21.09968378394308
15,20200218,0.6928440386390041,28.58915008436476
