,Date,Cedentes Ativos,Sacados Ativos
0,20191122,1.0,8.0
1,20191125,1.0,8.0
2,20191126,1.0,9.0
3,20191127,1.0,9.0
4,20191128,2.0,11.0
5,20191129,2.0,11.0
6,20191202,2.0,15.0
7,20191204,2.0,15.0
8,20191205,2.0,14.0
9,20191218,3.0,19.0
10,20191219,3.0,18.0
11,20191220,3.0,20.0
12,20191226,3.0,17.0
13,20191227,3.0,20.0
14,20191231,3.0,20.0
16,20200131,3.0,20.0
15,20200218,3.0,19.0
