Quantidade,NOME_CEDENTE,VALOR_PRESENTE,Yield_hje,VALOR_PDD,Dias_Hoje,VALOR_NOMINAL,VALOR_NOMINAL_Medio,Yield_hje_PDD
391,U BOLT IND+STRIA METAL+RGICA EIRELI EPP,681880.8600000006,1.252127222516584,728.0600000000003,8.314998297503172,700394.4,1743.9408184143238,1.3262362894220172
349,ARC COM+RCIO DE AUTO PE¦AS LTDA,2077853.4199999988,0.1367687515846936,193555.81999999983,24.978192335626854,2104423.3799999976,5953.734727793692,2.0485772379261555
289,IBERO RODARE IND+STRIA BRASILEIRA EQUIPA,5535704.579999998,0.5971155818328595,1122.94,17.27878975796069,5716299.7299999995,19154.687128027675,0.6018481177582249
246,VICKER ACESS+RIOS PARA MOLAS LTDA,941773.1099999998,-0.5116096320777699,3384.0199999999995,-4.1874530692429754,953055.0900000004,3828.345975609755,-0.6067344859882835
170,RODAROS INDUSTRIA DE RODAS LTDA,5080080.67,0.05104270954218748,444291.79999999993,114.70255920758841,5196507.1099999985,29882.827470588236,0.2851206684905794
68,Foco Industria de Auto Peças e Comercio EIRELI,420402.5499999999,0.4852051289299417,0.0,15.66112455787911,430865.1899999999,6182.390441176469,0.4852051289299417
31,IBERO IND BRASILEIRA DE EQUIP RODOVIARIO,201215.96999999994,-0.33891045529787667,4501.870000000001,-5.893367807734146,203172.96,6490.837741935482,-0.7487764698896087
10,FONTAINE INTERNACIONAL DO BRASIL S/A,11758.92,-0.9990169629662132,601.2899999999998,-5.129972820633187,13539.1,1175.892,-0.999925391900769
8,ENGATCAR IND+STRIA DE AUTOPE¦AS LTDA,32847.87,-0.3871019175959981,3284.79,-6.626488414621708,33273.46,4105.98375,-0.9888502226763509
1,BRASTRELA IMPORTAÇÃO E EXPORTAÇÃO LTDA,14699.03,-0.21044171200781026,1469.9,-10.0,14837.5,14699.03,-0.9444993695553346
