 , 
PL,"       16,263,274.57"
Yield Medio,13.24%
Prazo Medio,               49.14
Ticket Medio,"            9,595.79"
Ticket Maximo,"          830,084.26"
Maior exposição cedente,"        5,551,580.39"
Maior exposicao sacado,"        5,698,502.84"
Operacoes no mes,594
Cedentes Ativos,10
Sacados Ativos,274
PDD,"        1,110,272.09"
Atraso %,9.70%
Atraso Nominal,"        1,610,398.84"
