NOME_CEDENTE,Yield_hje,Dias_Hoje,VALOR_NOMINAL_Medio,PDD_pct,Quantidade,Atraso_pct
ARC COM+RCIO DE AUTO PE¦AS LTDA,0.1367687515846936,24.97819233562685,5953.7347277936915,0.16269565589653676,349,0.31961707941328915
U BOLT IND+STRIA METAL+RGICA EIRELI EPP,1.252127222516584,8.314998297503173,1743.9408184143238,0.0071559902314746685,391,0.05724085683574508
IBERO RODARE IND+STRIA BRASILEIRA EQUIPA,0.5971155818328595,17.278789757960688,19154.687128027675,0.0004882447536709453,289,0.002859691994841225
VICKER ACESS+RIOS PARA MOLAS LTDA,-0.5116096320777699,-4.187453069242976,3828.3459756097554,0.003704173021717721,246,0.0039429670099092725
RODAROS INDUSTRIA DE RODAS LTDA,0.05104270954218748,114.70255920758841,29882.827470588243,0.10488336454197106,170,0.07514828287147013
Foco Industria de Auto Peças e Comercio EIRELI,0.4852051289299417,15.66112455787911,6182.390441176469,0.0,68,0.0
IBERO IND BRASILEIRA DE EQUIP RODOVIARIO,-0.3389104552978767,-5.893367807734146,6490.837741935482,0.02505424064488623,31,0.03453633736956603
ENGATCAR IND+STRIA DE AUTOPE¦AS LTDA,-0.3871019175959981,-6.626488414621707,4105.98375,0.09999992634504493,8,0.7800537828481849
FONTAINE INTERNACIONAL DO BRASIL S/A,-0.9990169629662132,-5.129972820633187,1175.892,0.06378450127567742,10,0.25886419329790344
BRASTRELA IMPORTAÇÃO E EXPORTAÇÃO LTDA,-0.21044171200781026,-10.0,14699.03,0.09999979590489984,1,0.0
