Date,PL
20180620,11701645.64
20180621,11686671.64
20180622,11684843.65
20180625,11669929.69
20180626,11691274.18
20180627,11698903.03
20180628,11716198.78
20180629,11744114.39
20180702,11723310.62
20180703,11728077.08
20180704,11725309.66
20180705,11730091.13
20180706,11723526.99
20180709,11687976.05
20180710,11691669.34
20180711,11684022.79
20180712,11696927.01
20180713,11707664.37
20180716,11688003.1
20180717,11696258.17
20180718,11696397.86
20180719,11690169.33
20180720,11686076.36
20180723,11652985.43
20180724,11658083.34
20180725,11659231.45
20180726,11654720.64
20180727,11692888.45
20180730,11740306.85
20180731,11742859.81
20180801,11740791.62
20180802,11799179.54
20180803,11857546.34
20180806,11838587.81
20180807,11840096.67
20180808,11835816.8
20180809,11836811.36
20180810,11836466.97
20180813,11818136.31
20180814,11850070.75
20180815,11854269.45
20180816,11856495.04
20180817,11853342.67
20180820,11839961.12
20180821,11858518.28
20180823,11881297.25
20180824,11875278.03
20180827,11854923.27
20180828,11850668.68
20180829,11852812.88
20180830,11839854.15
20180831,11838963.68
20180903,11801365.55
20180904,11823365.64
20180905,11827746.85
20180906,11848935.37
20180910,11854017.84
20180911,11849007.79
20180912,11831984.79
20180913,11851898.72
20180914,11853109.81
20180917,11917589.51
20180918,11931077.15
20180919,11959798.1
20180920,11955243.99
20180921,11959980.32
20180924,11937507.33
20180925,11963909.14
20180926,11963898.64
20180927,12616895.81
20180928,12641181.39
20181001,12620567.33
20181002,12622966.4
20181003,12627243.16
20181004,12636026.01
20181005,12639811.28
20181008,12619278.52
20181009,12630833.95
20181010,12628846.6
20181011,12625203.08
20181015,12578384.63
20181016,12587555.23
20181017,12579192.6
20181018,12603075.55
20181019,12607992.69
20181022,12572289.06
20181023,12583228.37
20181024,12577380.99
20181025,12570963.71
20181026,12567009.19
20181029,12518429.17
20181030,12512643.78
20181031,12535646.9
20181101,12528461.91
20181105,12463212.94
20181106,12462091.3
20181107,12455179.15
20181108,12450368.75
20181109,12441963.05
20181112,12533986.89
20181113,12510551.49
20181114,12504699.15
20181116,12484805.57
20181119,12429633.23
20181120,12415967.77
20181121,12404591.57
20181122,12401369.0
20181123,12394391.87
20181126,12343703.3
20181127,12359242.68
20181128,12386418.67
20181129,12375540.95
20181130,12360343.75
20181203,12297489.16
20181204,12277775.66
20181205,12259877.98
20181206,12240976.08
20181207,12220702.23
20181210,12148294.98
20181211,12133680.52
20181212,12115137.69
20181213,13344649.94
20181214,13341252.33
20181217,13308972.01
20181218,13299788.62
20181219,13291093.76
20181220,13364097.55
20181221,13355431.93
20181224,13307571.58
20181226,13322037.91
20181227,13317182.37
20181228,13306575.95
20181231,13251874.22
20190102,13222194.7
20190103,13209559.05
20190104,13201986.83
20190107,13294866.77
20190108,13315876.7
20190109,13357402.63
20190110,13353059.01
20190111,13358031.93
20190114,13335759.52
20190115,13333177.33
20190116,13347844.55
20190117,13346398.89
20190118,13349934.33
20190121,13332766.84
20190122,13360433.2
20190123,13425164.81
20190124,13425868.01
20190125,13478118.17
20190128,13465095.48
20190129,13470151.27
20190130,13499657.19
20190131,13516242.06
20190201,13572195.41
20190204,13557518.85
20190205,13559247.06
20190206,13576503.6
20190207,13581048.12
20190208,13588437.16
20190211,13634048.77
20190212,13637418.92
20190213,13643885.51
20190214,13640998.21
20190215,13641220.71
20190218,13575753.36
20190219,13562651.87
20190220,13547637.77
20190221,13532582.3
20190222,13517516.97
20190225,13451851.81
20190226,13434200.12
20190227,13443849.93
20190228,13422258.25
20190301,13367249.47
20190306,13075526.63
20190307,13022688.13
20190308,12973748.92
20190311,12799643.39
20190312,12746944.17
20190313,12703644.69
20190314,12651145.81
20190315,12604163.09
20190318,12460836.4
20190319,12429285.73
20190320,12403884.82
20190321,12376487.77
20190322,12343743.72
20190325,12276135.12
20190326,12378202.27
20190327,12337226.43
20190328,12287977.83
20190329,12244442.59
20190401,12172341.44
20190402,12194319.17
20190403,12192614.75
20190404,12175857.9
20190405,12158080.14
20190408,12092706.84
20190409,12076959.84
20190410,12049530.85
20190411,12035708.88
20190412,12004423.68
20190415,11907105.56
20190416,11904468.72
20190417,11886353.54
20190418,11854289.0
20190422,11940589.06
20190423,11935707.58
20190424,11905426.52
20190425,12146632.72
20190426,12148999.28
20190429,12145365.24
20190430,12145842.68
20190502,12105356.2
20190503,12094407.66
20190506,12030782.62
20190507,12016185.88
20190508,12000783.17
20190509,11958867.7
20190510,11957279.22
20190513,11954814.64
20190514,11947683.28
20190515,11955112.44
20190516,11945733.89
20190517,11941258.48
20190520,11883790.75
20190521,11878221.2
20190522,11863383.69
20190523,11853529.54
20190524,11847920.77
20190527,11814374.11
20190528,11801125.02
20190529,11786690.15
20190530,11846644.66
20190531,11839835.05
20190603,11799239.61
20190604,11810487.85
20190605,11854122.19
20190606,11837876.13
20190607,11819435.77
20190610,11737738.14
20190611,11724965.77
20190612,11732107.77
20190613,11720593.42
20190614,11699975.76
20190617,11622956.96
20190618,11609001.21
20190619,11592682.44
20190621,11542770.0
20190624,11497786.05
20190625,11477028.23
20190626,11458659.73
20190627,11443580.52
20190628,11425232.03
20190701,11355679.6
20190702,11403627.72
20190703,11394124.4
20190704,11381755.82
20190705,11371725.58
20190708,11335955.62
20190709,11327188.15
20190710,11332310.37
20190711,11341588.58
20190712,11406215.11
20190715,11369911.37
20190716,11932285.3
20190717,11938370.75
20190718,11935732.23
20190719,11923625.05
20190722,11896209.54
20190723,11897456.06
20190724,11895220.35
20190725,11987935.28
20190726,11864002.32
20190729,11356631.72
20190730,11351690.65
20190731,11368804.27
20190801,11343953.14
20190802,11302934.73
20190805,11275159.59
20190806,11288101.43
20190807,11258948.41
20190808,11263448.03
20190809,11230435.56
20190812,11228012.18
20190813,11229435.86
20190814,11204472.35
20190815,11192776.28
20190816,11093998.56
20190819,11054864.58
20190820,11038638.13
20190821,11047313.45
20190822,11015214.05
20190823,10989029.15
20190826,11046211.33
20190827,10988815.15
20190828,10851868.95
20190829,10930321.32
20190830,10941249.02
20190902,11392496.94
20190903,11387454.9
20190904,11383162.24
20190905,11373067.37
20190906,11338012.99
20190909,11333090.96
20190910,11374877.76
20190911,11413563.86
20190912,11402756.1
20190913,11443893.03
20190916,12321828.85
20190917,12453599.41
20190918,12449842.29
20190919,12442689.9
20190920,12492341.68
20190923,12455300.54
20190924,12525059.49
20190925,12569761.56
20190926,12551779.57
20190927,12493449.18
20190930,13186100.83
20191001,13307606.27
20191002,13322965.54
20191003,13332621.82
20191004,13158007.21
20191007,12810486.06
20191008,13038269.95
20191009,12849573.18
20191010,12743543.11
20191011,9431303.64
20191014,8325550.05
20191015,9058897.11
20191016,8990364.59
20191017,8219176.69
20191018,8554348.72
20191021,8271475.98
20191022,8160641.33
20191023,8140969.28
20191024,8012124.33
20191025,7873439.55
20191028,13088020.56
20191029,12788421.68
20191030,13829305.58
20191031,13830084.63
20191101,13554042.46
20191104,13882818.58
20191105,14113577.99
20191106,14215727.59
20191107,14212664.77
20191108,14219434.79
20191111,14193609.78
20191112,13877881.85
20191113,14141142.65
20191114,14107867.36
20191118,14122768.47
20191119,13639731.54
20191120,13647925.21
20191121,13723162.52
20191122,13302769.09
20191125,13333715.06
20191126,13646913.4
20191127,14221511.35
20191128,14221210.79
20191129,13989499.79
20191202,14259690.68
20191203,14458117.99
20191204,14361670.9
20191205,14660242.72
20191206,14608158.2
20191209,14687230.75
20191210,14622195.18
20191211,14830593.14
20191212,14741437.63
20191213,14706532.69
20191216,14760599.4
20191217,15082567.33
20191218,14987474.19
20191219,15917014.71
20191220,15877304.34
20191223,15841184.75
20191224,15848530.35
20191226,15919111.28
20191227,15799518.02
20191230,16068624.07
20191231,16077234.1
20200102,16907982.27
20200103,16921959.77
20200106,16594465.49
20200107,16549223.38
20200108,16252318.38
20200109,16263627.11
20200110,16321374.8
20200113,16339382.8
20200114,16511673.7
20200115,16525937.97
20200116,16586852.59
20200117,16554978.18
20200120,16550656.77
20200121,16515736.29
20200122,16486529.97
20200123,16529389.08
20200124,16411749.44
20200127,16439449.86
20200128,16450584.64
20200129,16492139.92
20200130,16504330.97
20200131,16263274.57
20200203,16283953.14
20200204,16228439.86
20200205,16239561.76
20200206,16280670.32
20200207,15615736.89
20200210,15653461.18
20200211,15664004.93
20200212,15620156.02
20200213,15624082.33
20200214,15657344.68
20200217,16433997.08
20200218,16470204.94
20200219,16492956.77
20200220,16533835.6
20200221,16526612.63
20200226,16542087.16
