Date,PL
20171208,8683642.16
20171211,8639445.95
20171212,8632481.27
20171213,8847333.03
20171214,8838968.8
20171215,8829946.74
20171218,8793058.29
20171219,8789584.47
20171220,8784237.88
20171221,8775474.37
20171222,8769488.01
20171226,8715991.13
20171227,8711540.66
20171228,8697665.51
20171229,8694150.59
20180102,8675261.17
20180103,8672371.17
20180104,8683823.22
20180105,8692869.41
20180108,8690154.77
20180109,8691119.86
20180110,8697614.32
20180111,8697278.82
20180112,8697047.86
20180115,8690670.91
20180116,8697577.47
20180117,8705086.45
20180118,8708113.0
20180119,8734848.22
20180122,8809708.97
20180123,8879111.75
20180124,8975974.94
20180125,8980455.07
20180126,9006739.02
20180129,9003939.4
20180130,9115001.39
20180131,9175705.0
20180201,9180325.74
20180202,9184312.38
20180205,9175299.61
20180206,9176404.21
20180207,9180466.48
20180208,9184331.05
20180209,9188053.6
20180214,9158971.37
20180215,9160330.0
20180216,9191925.22
20180219,9176535.83
20180220,9174356.99
20180221,9178954.27
20180222,9180399.32
20180223,9182326.96
20180226,9147095.0
20180227,9147550.89
20180228,9138176.49
20180301,9132907.78
20180302,9129087.95
20180305,9184003.33
20180306,9187024.03
20180307,9190876.9
20180308,9214056.0
20180309,9216783.19
20180312,9207486.26
20180313,9215193.97
20180314,9216730.1
20180315,9224636.85
20180316,9232535.85
20180319,9238094.41
20180320,9444826.58
20180321,9467497.64
20180322,9476410.17
20180323,9485579.32
20180326,9491072.37
20180327,9501736.81
20180328,9514757.91
20180329,9532336.2
20180402,9544392.78
20180403,9554749.53
20180404,9564142.33
20180405,9572103.05
20180406,9581625.66
20180409,9579141.59
20180410,9583835.92
20180411,9597000.75
20180412,9599713.79
20180413,9603906.16
20180416,9588330.89
20180417,11430737.29
20180418,11508998.73
20180419,11538625.19
20180420,11545931.03
20180423,11542869.41
20180424,11547877.75
20180425,11546515.67
20180426,11418716.48
20180427,11427463.33
20180430,11419569.81
20180502,11423861.28
20180503,11424202.34
20180504,11423366.9
20180507,11406066.84
20180508,11404546.87
20180509,11404686.21
20180510,11380356.35
20180511,11547043.77
20180514,11546906.85
20180515,11555501.82
20180516,11560424.57
20180517,11557806.56
20180518,11560003.75
20180521,11537060.78
20180522,11535259.48
20180523,11529117.75
20180524,11519415.99
20180525,11515832.24
20180528,11492919.66
20180529,11485786.06
20180530,11483924.28
20180601,11456438.43
20180604,11426720.49
20180605,11418153.07
20180606,11517643.32
20180607,11512965.9
20180608,11609174.5
20180611,11592226.56
20180612,11588319.47
20180613,11643169.47
20180614,11642282.51
20180615,11641457.62
20180618,11613115.42
20180619,11610463.73
