 , 
PL,"       16,239,561.76"
Yield Medio,11.02%
Prazo Medio,               60.28
Ticket Medio,"            9,939.81"
Ticket Maximo,"          731,576.53"
Maior exposição cedente,"        6,051,555.71"
Maior exposicao sacado,"        5,894,507.08"
Operacoes no mes,6
Cedentes Ativos,10
Sacados Ativos,257
PDD,"        1,103,820.75"
Atraso %,9.89%
Atraso Nominal,"        1,632,934.27"
