Quantidade,NOME_CEDENTE,VALOR_PRESENTE,Yield_hje,VALOR_PDD,Dias_Hoje,VALOR_NOMINAL,VALOR_NOMINAL_Medio,Yield_hje_PDD
389,U BOLT IND+STRIA METAL+RGICA EIRELI EPP,702447.4999999994,0.42328021503087165,273.15999999999997,18.440284733022782,720826.9400000001,1805.777634961438,0.430865391929216
295,ARC COM+RCIO DE AUTO PE¦AS LTDA,1177215.6199999994,0.08476729522620041,104838.60000000005,62.908920066826916,1201371.68,3990.5614237288114,0.5761779413547468
275,IBERO RODARE IND+STRIA BRASILEIRA EQUIPA,5724599.910000002,0.33290167388635705,1027.93,28.20510948510985,5911710.699999999,20816.726945454553,0.33504198404221763
252,VICKER ACESS+RIOS PARA MOLAS LTDA,1050382.73,0.5809660813950441,194.66,6.2747562881198515,1062430.9399999997,4168.185436507936,0.5927777960126854
173,RODAROS INDUSTRIA DE RODAS LTDA,5585807.6000000015,0.04942101147412847,444908.88000000006,112.87943963734085,5707817.6,32287.905202312148,0.2630584395932416
67,Foco Industria de Auto Peças e Comercio EIRELI,418523.4999999999,0.26729400120648394,0.0,23.86365778743609,428017.9999999999,6246.619402985073,0.26729400120648394
30,IBERO IND BRASILEIRA DE EQUIP RODOVIARIO,162378.92,0.6830803963770888,4514.74,4.317103907329844,163833.66,5412.630666666667,7.7284478859595485
9,FONTAINE INTERNACIONAL DO BRASIL S/A,10641.14,1205.276179817412,623.93,4.317435913821264,12016.599999999999,1182.3488888888887,41029.13404070413
5,ENGATCAR IND+STRIA DE AUTOPE¦AS LTDA,23191.47,1.0089462699307297,2319.14,4.908799226612198,23508.769999999997,4638.294,447.7298201090062
1,BRASTRELA IMPORTAÇÃO E EXPORTAÇÃO LTDA,14768.1,-0.44607565386084824,1476.81,-2.0,14837.5,14768.1,-0.9999990493806655
